UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,APU,APU CANDIDATE,APU CANDIDATE SEX,APU CANDIDATE AGE,APU VOTE,APU CANDIDATE LOST DEPOSIT,GR,GR CANDIDATE,GR CANDIDATE SEX,GR CANDIDATE AGE,GR VOTE,GR CANDIDATE LOST DEPOSIT,S46,S46 CANDIDATE,S46 CANDIDATE SEX,S46 CANDIDATE AGE,S46 VOTE,S46 CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT
P. 7_N.8,KEDAH,P. 7,PADANG TERAP,N.8,PEDU,BN - UMNO,,12964,1047,79.74,10337,18,216,10103,UMNO,GHAZALI BIN IBRAHIM,MALE,,5575,,PAS,HAJI OTHMAN B HAJI MOHD MARZUKI,MALE,,4528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 8_N.9,KEDAH,P. 8,POKOK SENA,N.9,BUKIT LADA,BN - UMNO,,21995,1988,76.42,16809,31,388,16390,UMNO,AHMAD BIN SUDIN,MALE,,9189,,PAS,MAHMUD @ MOHAMOOD BIN CHE MAT @ HJ AHMAD,MALE,,7201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 8_N.10,KEDAH,P. 8,POKOK SENA,N.10,LANGGAR,BN - UMNO,,19390,453,76.17,14750,220,529,14001,UMNO,ALIAS BIN MUSTAFA,MALE,,7227,,PAS,MOHAMAD BIN ABDULLAH,MALE,,6774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 8_N.11,KEDAH,P. 8,POKOK SENA,N.11,TANJONG SERI,BN - UMNO,,22516,2882,73.02,16443,27,310,16106,UMNO,ADUL RAHMAN BIN IBRAHIM,MALE,,9494,,PAS,MOHAMAD SHAUKI BIN HJ IBRAHIM,MALE,,6612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 9_N.12,KEDAH,P. 9,ALOR SETAR,N.12,DERGA,BN - GERAKAN,,20257,6668,65.69,13307,205,231,12871,GERAKAN,CHEUNG KAI YAN,,,9248,,PAS,CHE JAAFAR BIN JUSOH,MALE,,2580,,PBS,JAYAGOPAL A/L ADAIKKALAM,MALE,,1043,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 9_N.13,KEDAH,P. 9,ALOR SETAR,N.13,KOTA DARUL AMAN,BN - MCA,,21982,5265,67.17,14766,242,611,13913,MCA,CHONG ITT CHEW @ CHONG KAW CHAI,MALE,,9589,,,,,,,,,,,,,,,,,,,,DAP,GEORGE JOHN A/L K.M. GEORGE,MALE,,4324,,,,,,,,,,,,,,,,,,,,,,,,,
P. 9_N.14,KEDAH,P. 9,ALOR SETAR,N.14,ALOR MERAH,BN - UMNO,,19446,5593,71.14,13833,19,291,13523,UMNO,AHMAD BASHAH BIN MD. HANIPAH,MALE,,9558,,PAS,FADZIL BIN HAJI AHMAD,MALE,,3965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 10_N.15,KEDAH,P. 10,KUALA KEDAH,N.15,ANAK BUKIT,BN - UMNO,,18297,568,75.32,13781,64,197,13520,UMNO,ABDULLAH HASNAN BIN KAMARUDDIN,MALE,,7044,,PAS,ABDUL RAHMAN BIN LIN @ HALIM,MALE,,6476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 10_N.16,KEDAH,P. 10,KUALA KEDAH,N.16,KUBANG ROTAN,BN - UMNO,,18642,3773,72.28,13474,40,243,13191,UMNO,SYED RAZAK BIN SYED ZAIN,MALE,,8482,,PAS,MUHAMAD YUSOF BIN HUSIN,MALE,,4709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 10_N.17,KEDAH,P. 10,KUALA KEDAH,N.17,PENGKALAN KUNDOR,BN - UMNO,,20466,1485,76.14,15582,283,204,15095,UMNO,MOHD. JAMIL BIN HAJI MD. IDROSS,MALE,,8290,,PAS,MOHD MUSLIM BIN OTHMAN,MALE,,6805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 11_N.18,KEDAH,P. 11,PENDANG,N.18,BUKIT RAYA,APU - PAS,,26259,2416,79.12,20777,34,227,20516,UMNO,FADZIL BIN HANAFI,MALE,,9050,,PAS,ALI @ FADZIL BIN MD NOOR,MALE,,11466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 11_N.19,KEDAH,P. 11,PENDANG,N.19,SUNGAI TIANG,BN - UMNO,,25192,3759,75.81,19098,9,512,18577,UMNO,FATIMAH BINTI HAJI ISMAIL,FEMALE,,11168,,PAS,HJ ABDULLAH BIN HAJI ABDUL RAHMAN @ HAJI ABDUL RAHIM BIN HAJI ABDUL RAHMAN,MALE,,7409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 12_N.20,KEDAH,P. 12,YAN,N.20,SALA,APU - PAS,,21839,196,76.76,16763,10,215,16538,UMNO,BAHADOR BIN OMAR,MALE,,8171,,PAS,AZIZAN BIN ABDUL RAZAK,MALE,,8367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 12_N.21,KEDAH,P. 12,YAN,N.21,GUAR CHEMPEDAK,BN - UMNO,,18818,4320,71.03,13367,67,250,13050,UMNO,ABD. RAZAK BIN HASHIM,MALE,,8685,,PAS,BAHAROM BIN HANAFI,MALE,,4365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 13_N.22,KEDAH,P. 13,SIK,N.22,BELANTEK,BN - UMNO,,14762,428,77.71,11472,16,246,11210,UMNO,HAMLAN BIN DIN,MALE,,5819,,PAS,SALLEH BIN MUSA,MALE,,5391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 13_N.23,KEDAH,P. 13,SIK,N.23,JENERI,BN - UMNO,,16040,1061,79.3,12719,10,268,12441,UMNO,MOHD. HADZIR BIN MOHD. JAAFAR @ JAAFAR,MALE,,6751,,PAS,HARUM BIN JUSOH,MALE,,5690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 14_N.24,KEDAH,P. 14,MERBOK,N.24,BUKIT SELAMBAU,BN - MIC,,21169,7365,71,15031,0,374,14657,MIC,SARAVANAN A/L VELIAUDAYAR,MALE,,10165,,PAS,HARUN BIN MAT ISA,MALE,,2800,,,,,,,,,,,,,,DAP,KARUPPAIAH A/L RAMASAMY,MALE,,1692,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 14_N.25,KEDAH,P. 14,MERBOK,N.25,GURUN,BN - MCA,,19156,6765,68.91,13202,0,485,12717,MCA,BEH HENG SEONG,MALE,,9741,,,,,,,,,,,,,,S46,ABDUL MAJID BIN MAT ISA,MALE,,2976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 14_N.26,KEDAH,P. 14,MERBOK,N.26,TANJONG DAWAI,BN - UMNO,,19113,4575,71.71,13706,4,415,13287,UMNO,BADRI BIN HAJI YUNUS,MALE,,8931,,PAS,MOHD YUSOF BIN OMAR,MALE,,4356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 15_N.27,KEDAH,P. 15,SUNGAI PETANI,N.27,PANTAI MERDEKA,BN - UMNO,,20893,4436,76.34,15950,1,330,15619,UMNO,JAMALUDIN BIN YUSOF,MALE,,9857,,PAS,MOHAMAD ISA BIN MAHAMUD,MALE,,5421,,,,,,,,,,,,,,DAP,LIM POK LONG,,,341,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 15_N.28,KEDAH,P. 15,SUNGAI PETANI,N.28,BAKAR ARANG,BN - MCA,,22896,6606,76.09,17421,663,496,16262,MCA,TAN HONG ENG,,,9882,,PAS,HAJI AZIZAN BIN HAJI MAGHRIBI,MALE,,3104,,,,,,,,,,,,,,DAP,LEE CHUAN SAW,,,3276,,,,,,,,,,,,,,,,,,,,,,,,,
P. 15_N.29,KEDAH,P. 15,SUNGAI PETANI,N.29,SIDAM,BN - GERAKAN,,21257,5813,70.56,14999,12,351,14636,GERAKAN,FONG CHOK GIN @ FONG TOK JENG,MALE,,9230,,PAS,JAMALUDIN BIN YAHAYA,MALE,,1989,,,,,,,,,,,,,,DAP,CHONG AH LEK @ CHONG KOK HEONG,,,3417,,,,,,,,,,,,,,,,,,,,,,,,,
P. 16_N.30,KEDAH,P. 16,BALING,N.30,BAYU,BN - UMNO,,24006,4869,76.46,18356,55,402,17899,UMNO,MOHD. SIBI BIN AHMAD,MALE,,11384,,PAS,MAT JUKI BIN AHAMAD,MALE,,6515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 16_N.31,KEDAH,P. 16,BALING,N.31,KUPANG,BN - UMNO,,26590,393,75.46,20065,21,399,19645,UMNO,ZAINOL BIN MD. ISA,MALE,,10019,,PAS,SUHAIMI BIN AHMAD,MALE,,9626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 16_N.32,KEDAH,P. 16,BALING,N.32,KUALA KETIL,BN - UMNO,,17552,5283,71.43,12538,6,321,12211,UMNO,MOHD. HADZIR BIN ISMAIL,MALE,,8747,,PAS,AHMAD BIN MAJID,MALE,,3464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 17_N.33,KEDAH,P. 17,PADANG SERAI,N.33,MERBAU PULAS,BN - UMNO,,20549,7703,71.12,14615,8,498,14109,UMNO,CHE PORA BT. OMAR,FEMALE,,10906,,PAS,AHMAD JAILANI BIN AHMAD,MALE,,3203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 17_N.34,KEDAH,P. 17,PADANG SERAI,N.34,LUNAS,BN - MIC,,21997,7236,74.15,16312,1060,420,14832,MIC,M. JOSEPH PHILOMIN A/L JOSEPH FERNANDEZ,MALE,,11034,,,,,,,,,,,,,,S46,MAJID @ ZINUDIN BIN AROP @ AROF,MALE,,3798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 18_N.35,KEDAH,P. 18,KULIM-BANDAR BAHARU,N.35,KULIM,BN - MCA,,24564,9946,69.72,17126,295,597,16234,MCA,YONG PAU CHAK,MALE,,13090,,,,,,,,,,,,,,S46,CHE' AT BIN IBRAHIM,MALE,,3144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 18_N.36,KEDAH,P. 18,KULIM-BANDAR BAHARU,N.36,BANDAR BAHARU,BN - UMNO,,21382,6559,71.72,15336,34,557,14745,UMNO,MUHAMAD FISHOL BIN HAJI SAID,MALE,,10652,,PAS,ABDUL RAMAN BIN ABDUL RAZAK @ HASAN BIN ABDUL RAZAK,MALE,,4093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 19_N. 1,KELANTAN,P. 19,TUMPAT,N. 1,PENGKALAN KUBOR,BN - UMNO,,15486,1298,72.1,11166,33,259,10874,UMNO,MAT NAWAWI BIN MAT JUSOH,MALE,,6086,,,,,,,,,,,,,,S46,WAN RAHMAN BIN W SALLEH,MALE,,4788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 19_N. 2,KELANTAN,P. 19,TUMPAT,N. 2,KELABORAN,S46,,15864,924,75.28,11942,64,298,11580,UMNO,MANSOR BIN SALLEH,MALE,,5328,,,,,,,,,,,,,,S46,NOORDIN BIN YAAKUB,MALE,,6252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 19_N. 3,KELANTAN,P. 19,TUMPAT,N. 3,PASIR PEKAN,APU - PAS,,14852,2739,77.06,11445,37,187,11221,UMNO,SAUPI BIN DAUD,MALE,,4241,,PAS,AHMAD BIN YAKOB A.K.A. USTAZ MAT TO' GURU KOB,MALE,,6980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 20_N. 4,KELANTAN,P. 20,PENGKALAN CHEPA,N. 4,KIJANG,APU - PAS,,12993,4309,74.19,9640,29,190,9421,UMNO,RUHANI BT. MAMAT,FEMALE,,2556,,PAS,AB. HALIM BIN AB. RAHMAN,MALE,,6865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
