UNIQUE CODE (1994),STATE (1994),PARLIAMENTARY CONSTITUENCY CODE (1994),PARLIAMENTARY CONSTITUENCY NAME (1994),STATE CONSTITUENCY CODE (1994),STATE CONSTITUENCY NAME (1994),AREA (SQ KM),NOTES
P.4_N.2,KEDAH,P.4,LANGKAWI,N.2,KUAH,230,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.5_N.3,KEDAH,P.5,JERLUN,N.3,AYER HITAM,126,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.5_N.4,KEDAH,P.5,JERLUN,N.4,KOTA SIPUTEH,183,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.6_N.5,KEDAH,P.6,KUBANG PASU,N.5,TUNJANG,453,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.6_N.6,KEDAH,P.6,KUBANG PASU,N.6,JITRA,170,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.7_N.7,KEDAH,P.7,PADANG TERAP,N.7,KUALA NERANG,657,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.7_N.8,KEDAH,P.7,PADANG TERAP,N.8,PEDU,695,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.8_N.9,KEDAH,P.8,POKOK SENA,N.9,BUKIT LADA,209,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.8_N.10,KEDAH,P.8,POKOK SENA,N.10,LANGGAR,76,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.8_N.11,KEDAH,P.8,POKOK SENA,N.11,TANJONG SERI,89,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.9_N.12,KEDAH,P.9,ALOR SETAR,N.12,DERGA,7,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.9_N.13,KEDAH,P.9,ALOR SETAR,N.13,KOTA DARUL AMAN,5,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.9_N.14,KEDAH,P.9,ALOR SETAR,N.14,ALOR MERAH,29,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.10_N.15,KEDAH,P.10,KUALA KEDAH,N.15,ANAK BUKIT,76,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.10_N.16,KEDAH,P.10,KUALA KEDAH,N.16,KUBANG ROTAN,54,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.10_N.17,KEDAH,P.10,KUALA KEDAH,N.17,PENGKALAN KUNDOR,95,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.11_N.18,KEDAH,P.11,PENDANG,N.18,BUKIT RAYA,160,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.11_N.19,KEDAH,P.11,PENDANG,N.19,SUNGAI TIANG,456,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.11_N.20,KEDAH,P.11,PENDANG,N.20,SALA,133,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.12_N.21,KEDAH,P.12,YAN,N.21,GUAR CHEMPEDAK,113,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.12_N.22,KEDAH,P.12,YAN,N.22,BELANTEK,1319,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.13_N.23,KEDAH,P.13,SIK,N.23,JENERI,337,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.13_N.24,KEDAH,P.13,SIK,N.24,BUKIT SELAMBAU,285,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.14_N.25,KEDAH,P.14,MERBOK,N.25,GURUN,209,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.14_N.26,KEDAH,P.14,MERBOK,N.26,TANJONG DAWAI,160,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.15_N.27,KEDAH,P.15,SUNGAI PETANI,N.27,PANTAI MERDEKA,131,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.15_N.28,KEDAH,P.15,SUNGAI PETANI,N.28,BAKAR ARANG,24,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.15_N.29,KEDAH,P.15,SUNGAI PETANI,N.29,SIDAM,77,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.16_N.30,KEDAH,P.16,BALING,N.30,BAYU,751,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.16_N.31,KEDAH,P.16,BALING,N.31,KUPANG,356,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.16_N.32,KEDAH,P.16,BALING,N.32,KUALA KETIL,431,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.17_N.33,KEDAH,P.17,PADANG SERAI,N.33,MERBAU PULAS,272,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.17_N.34,KEDAH,P.17,PADANG SERAI,N.34,LUNAS,80,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.18_N.35,KEDAH,P.18,KULIM-BANDAR BAHARU,N.35,KULIM,409,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.18_N.36,KEDAH,P.18,KULIM-BANDAR BAHARU,N.36,BANDAR BAHARU,265,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.19_N.1,KELANTAN,P.19,TUMPAT,N.1,PENGKALAN KUBOR,46,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.19_N.2,KELANTAN,P.19,TUMPAT,N.2,KELABORAN,50,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.19_N.3,KELANTAN,P.19,TUMPAT,N.3,PASIR PEKAN,34,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.20_N.4,KELANTAN,P.20,PENGKALAN CHEPA,N.4,KIJANG,23,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.20_N.5,KELANTAN,P.20,PENGKALAN CHEPA,N.5,CHEMPAKA,30,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.20_N.6,KELANTAN,P.20,PENGKALAN CHEPA,N.6,PANCHOR,26,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.21_N.7,KELANTAN,P.21,KOTA BHARU,N.7,TANJONG MAS,21,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.21_N.8,KELANTAN,P.21,KOTA BHARU,N.8,KOTA LAMA,6,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.21_N.9,KELANTAN,P.21,KOTA BHARU,N.9,BUNUT PAYONG,14,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.22_N.10,KELANTAN,P.22,PASIR MAS,N.10,WAKAF BHARU,46,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.22_N.11,KELANTAN,P.22,PASIR MAS,N.11,TENDONG,51,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.22_N.12,KELANTAN,P.22,PASIR MAS,N.12,PENGKALAN PASIR,35,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.23_N.13,KELANTAN,P.23,RANTAU PANJANG,N.13,MERANTI,72,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.23_N.14,KELANTAN,P.23,RANTAU PANJANG,N.14,GUAL PERIOK,160,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.23_N.15,KELANTAN,P.23,RANTAU PANJANG,N.15,BUKIT TUKU,135,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.24_N.16,KELANTAN,P.24,KUBANG KERIAN,N.16,SALOR,40,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.24_N.17,KELANTAN,P.24,KUBANG KERIAN,N.17,PASIR TUMBOH,38,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.24_N.18,KELANTAN,P.24,KUBANG KERIAN,N.18,KENALI,42,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.25_N.19,KELANTAN,P.25,BACHOK,N.19,TAWANG,68,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.25_N.20,KELANTAN,P.25,BACHOK,N.20,PERUPOK,72,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.25_N.21,KELANTAN,P.25,BACHOK,N.21,JELAWAT,128,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.26_N.22,KELANTAN,P.26,PERINGAT,N.22,MELOR,51,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.26_N.23,KELANTAN,P.26,PERINGAT,N.23,KADOK,56,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.26_N.24,KELANTAN,P.26,PERINGAT,N.24,KETEREH,59,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.27_N.25,KELANTAN,P.27,TANAH MERAH,N.25,CHETOK,115,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.27_N.26,KELANTAN,P.27,TANAH MERAH,N.26,BUKIT PANAU,133,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.27_N.27,KELANTAN,P.27,TANAH MERAH,N.27,GUAL IPOH,407,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.28_N.28,KELANTAN,P.28,PASIR PUTEH,N.28,SELISING,106,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.28_N.29,KELANTAN,P.28,PASIR PUTEH,N.29,LIMBONGAN,88,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.28_N.30,KELANTAN,P.28,PASIR PUTEH,N.30,SEMERAK,117,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.28_N.31,KELANTAN,P.28,PASIR PUTEH,N.31,GAAL,103,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.29_N.32,KELANTAN,P.29,MACHANG,N.32,PULAI CHONDONG,143,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.29_N.33,KELANTAN,P.29,MACHANG,N.33,BANGGOL JUDAH,256,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.29_N.34,KELANTAN,P.29,MACHANG,N.34,KEMUNING,130,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.30_N.35,KELANTAN,P.30,JELI,N.35,KEMAHANG,234,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.30_N.36,KELANTAN,P.30,JELI,N.36,AIR LANAS,405,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.30_N.37,KELANTAN,P.30,JELI,N.37,PERGAU,1019,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.31_N.38,KELANTAN,P.31,KUALA KRAI,N.38,GUCHIL,198,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.31_N.39,KELANTAN,P.31,KUALA KRAI,N.39,MENGKEBANG,581,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.31_N.40,KELANTAN,P.31,KUALA KRAI,N.40,MANEK URAI,651,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.32_N.41,KELANTAN,P.32,GUA MUSANG,N.41,DABONG,1145,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.32_N.42,KELANTAN,P.32,GUA MUSANG,N.42,PALOH,3292,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.32_N.43,KELANTAN,P.32,GUA MUSANG,N.43,GALAS,4506,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.33_N.1,TERENGGANU,P.33,BESUT,N.1,KUALA BESUT,67,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.33_N.2,TERENGGANU,P.33,BESUT,N.2,KAMPUNG RAJA,92,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.33_N.3,TERENGGANU,P.33,BESUT,N.3,JERTIH,130,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.33_N.4,TERENGGANU,P.33,BESUT,N.4,HULU BESUT,744,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.34_N.5,TERENGGANU,P.34,SETIU,N.5,JABI,191,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.34_N.6,TERENGGANU,P.34,SETIU,N.6,PERMAISURI,705,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.34_N.7,TERENGGANU,P.34,SETIU,N.7,LANGKAP,626,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.34_N.8,TERENGGANU,P.34,SETIU,N.8,BATU RAKIT,126,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.35_N.9,TERENGGANU,P.35,KUALA NERUS,N.9,TEPUH,232,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.35_N.10,TERENGGANU,P.35,KUALA NERUS,N.10,TELUK PASU,66,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.35_N.11,TERENGGANU,P.35,KUALA NERUS,N.11,SEBERANG TAKIR,21,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.35_N.12,TERENGGANU,P.35,KUALA NERUS,N.12,BUKIT TUNGGAL,16,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.36_N.13,TERENGGANU,P.36,KUALA TERENGGANU,N.13,WAKAF MEMPELAM,12,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.36_N.14,TERENGGANU,P.36,KUALA TERENGGANU,N.14,BANDAR,7,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.36_N.15,TERENGGANU,P.36,KUALA TERENGGANU,N.15,LADANG,13,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.36_N.16,TERENGGANU,P.36,KUALA TERENGGANU,N.16,BATU BURUK,21,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.37_N.17,TERENGGANU,P.37,MARANG,N.17,ALUR LIMBAT,66,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.37_N.18,TERENGGANU,P.37,MARANG,N.18,BUKIT PAYUNG,33,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.37_N.19,TERENGGANU,P.37,MARANG,N.19,RU RENDANG,124,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.37_N.20,TERENGGANU,P.37,MARANG,N.20,PENGKALAN BERANGAN,483,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.38_N.21,TERENGGANU,P.38,HULU TERENGGANU,N.21,TELEMUNG,3182,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.38_N.22,TERENGGANU,P.38,HULU TERENGGANU,N.22,MANIR,66,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.38_N.23,TERENGGANU,P.38,HULU TERENGGANU,N.23,KUALA BERANG,137,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.38_N.24,TERENGGANU,P.38,HULU TERENGGANU,N.24,AJIL,508,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.39_N.25,TERENGGANU,P.39,DUNGUN,N.25,BUKIT BESI,2148,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.39_N.26,TERENGGANU,P.39,DUNGUN,N.26,RANTAU ABANG,207,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.39_N.27,TERENGGANU,P.39,DUNGUN,N.27,SURA,9,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.39_N.28,TERENGGANU,P.39,DUNGUN,N.28,PAKA,356,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.40_N.29,TERENGGANU,P.40,KEMAMAN,N.29,KEMASIK,320,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.40_N.30,TERENGGANU,P.40,KEMAMAN,N.30,KIJAL,536,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.40_N.31,TERENGGANU,P.40,KEMAMAN,N.31,CUKAI,93,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.40_N.32,TERENGGANU,P.40,KEMAMAN,N.32,AIR PUTIH,1576,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.41_N.1,PULAU PINANG,P.41,KEPALA BATAS,N.1,PENAGA,37,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.41_N.2,PULAU PINANG,P.41,KEPALA BATAS,N.2,BERTAM,24,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.41_N.3,PULAU PINANG,P.41,KEPALA BATAS,N.3,PINANG TUNGGAL,74,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.42_N.4,PULAU PINANG,P.42,TASEK GELUGOR,N.4,PERMATANG BERANGAN,56,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.42_N.5,PULAU PINANG,P.42,TASEK GELUGOR,N.5,SUNGAI DUA,35,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.42_N.6,PULAU PINANG,P.42,TASEK GELUGOR,N.6,TELOK AYER TAWAR,17,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.43_N.7,PULAU PINANG,P.43,BAGAN,N.7,SUNGAI PUYU,10,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.43_N.8,PULAU PINANG,P.43,BAGAN,N.8,BAGAN JERMAL,6,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.43_N.9,PULAU PINANG,P.43,BAGAN,N.9,PERAI,18,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.44_N.10,PULAU PINANG,P.44,PERMATANG PAUH,N.10,SEBERANG JAYA,21,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.44_N.11,PULAU PINANG,P.44,PERMATANG PAUH,N.11,PERMATANG PASIR,29,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.44_N.12,PULAU PINANG,P.44,PERMATANG PAUH,N.12,PENANTI,47,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.45_N.13,PULAU PINANG,P.45,BUKIT MERTAJAM,N.13,BERAPIT,10,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.45_N.14,PULAU PINANG,P.45,BUKIT MERTAJAM,N.14,MACHANG BUBUK,59,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.45_N.15,PULAU PINANG,P.45,BUKIT MERTAJAM,N.15,BUKIT TENGAH,53,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.46_N.16,PULAU PINANG,P.46,NIBONG TEBAL,N.16,SUNGAI BAKAP,97,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.46_N.17,PULAU PINANG,P.46,NIBONG TEBAL,N.17,JAWI,97,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.46_N.18,PULAU PINANG,P.46,NIBONG TEBAL,N.18,SUNGAI ACHEH,46,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.47_N.19,PULAU PINANG,P.47,BUKIT BENDERA,N.19,TANJONG BUNGA,22,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.47_N.20,PULAU PINANG,P.47,BUKIT BENDERA,N.20,AIR ITAM,29,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.47_N.21,PULAU PINANG,P.47,BUKIT BENDERA,N.21,KEBUN BUNGA,12,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.48_N.22,PULAU PINANG,P.48,TANJONG,N.22,PADANG KOTA,2,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.48_N.23,PULAU PINANG,P.48,TANJONG,N.23,PENGKALAN KOTA,1,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.48_N.24,PULAU PINANG,P.48,TANJONG,N.24,KAMPONG KOLAM,2,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.49_N.25,PULAU PINANG,P.49,JELUTONG,N.25,DATOK KERAMAT,3,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.49_N.26,PULAU PINANG,P.49,JELUTONG,N.26,SUNGAI PINANG,3,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.49_N.27,PULAU PINANG,P.49,JELUTONG,N.27,BATU LANCANG,2,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.50_N.28,PULAU PINANG,P.50,BAYAN BARU,N.28,BUKIT GELUGOR,7,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.50_N.29,PULAU PINANG,P.50,BAYAN BARU,N.29,PAYA TERUBONG,19,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.50_N.30,PULAU PINANG,P.50,BAYAN BARU,N.30,BATU UBAN,17,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.51_N.31,PULAU PINANG,P.51,BALIK PULAU,N.31,BAYAN LEPAS,32,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.51_N.32,PULAU PINANG,P.51,BALIK PULAU,N.32,TELOK KUMBAR,49,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.51_N.33,PULAU PINANG,P.51,BALIK PULAU,N.33,TELOK BAHANG,95,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.52_N.1,PERAK,P.52,GERIK,N.1,PENGKALAN HULU,648,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.52_N.2,PERAK,P.52,GERIK,N.2,TEMENGOR,3909,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.52_N.3,PERAK,P.52,GERIK,N.3,KENERING,1744,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.53_N.4,PERAK,P.53,LARUT,N.4,SELAMA,548,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.53_N.5,PERAK,P.53,LARUT,N.5,BATU KURAU,496,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.54_N.6,PERAK,P.54,PARIT BUNTAR,N.6,TITI SERONG,81,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.54_N.7,PERAK,P.54,PARIT BUNTAR,N.7,KUALA KURAU,65,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.55_N.8,PERAK,P.55,BAGAN SERAI,N.8,ALOR PONGSU,336,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.55_N.9,PERAK,P.55,BAGAN SERAI,N.9,GUNONG SEMANGGOL,239,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.56_N.10,PERAK,P.56,BUKIT GANTANG,N.10,KUALA SAPETANG,385,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.56_N.11,PERAK,P.56,BUKIT GANTANG,N.11,CHANGKAT JERING,86,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.56_N.12,PERAK,P.56,BUKIT GANTANG,N.12,TRONG,538,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.57_N.13,PERAK,P.57,TAIPING,N.13,KAMUNTING,117,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.57_N.14,PERAK,P.57,TAIPING,N.14,POKOK ASSAM,44,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.57_N.15,PERAK,P.57,TAIPING,N.15,AULONG,25,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.58_N.16,PERAK,P.58,CHENDEROH,N.16,LENGGONG,388,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.58_N.17,PERAK,P.58,CHENDEROH,N.17,LUBOK MERBAU,297,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.59_N.18,PERAK,P.59,SUNGAI SIPUT,N.18,LINTANG,1101,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.59_N.19,PERAK,P.59,SUNGAI SIPUT,N.19,JALONG,472,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.60_N.20,PERAK,P.60,TAMBUN,N.20,MANJOI,144,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.60_N.21,PERAK,P.60,TAMBUN,N.21,HULU KINTA,381,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.61_N.22,PERAK,P.61,IPOH TIMOR,N.22,TAMAN CANNING,22,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.61_N.23,PERAK,P.61,IPOH TIMOR,N.23,TEBING TINGGI,10,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
P.61_N.24,PERAK,P.61,IPOH TIMOR,N.24,PASIR PINJI,8,As per the 1994 Redelineation Exercise of Peninsular Malaysia and Labuan
