UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,APU,APU CANDIDATE,APU CANDIDATE SEX,APU CANDIDATE AGE,APU VOTE,APU CANDIDATE LOST DEPOSIT,GR,GR CANDIDATE,GR CANDIDATE SEX,GR CANDIDATE AGE,GR VOTE,GR CANDIDATE LOST DEPOSIT,S46,S46 CANDIDATE,S46 CANDIDATE SEX,S46 CANDIDATE AGE,S46 VOTE,S46 CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT
P. 136,JOHOR,P. 136,TENGGARA,BN - UMNO,,43080,24518,80.74,34782,310,1536,32936,UMNO,HISHAMMUDDIN BIN DATUK HUSSEIN,MALE,34,28727,,,,,,,,,,,,,,S46,MADIN BIN KHANI @ MD. DIN BIN A. GHANI,MALE,,4209,,,,,,,,,,,,,,,,,,,,,,,,,
P. 137,JOHOR,P. 137,SUNGAI BENUT,BN - UMNO,,54894,21931,71.82,39424,301,2154,36969,UMNO,ABD HAMID BIN ABD. RAHMAN,MALE,42,29450,,,,,,,,,,,,,,S46,HASSAN BIN MD. ALI,MALE,,7519,,,,,,,,,,,,,,,,,,,,,,,,,
P. 138,JOHOR,P. 138,SENAI,BN - MCA,,60688,19648,76.5,46428,6,1730,44692,MCA,LIM SI CHENG,MALE,45,32170,,,,,,,,,,,,,,,,,,,,DAP,M. SALLEH BIN AHMAD,MALE,,12522,,,,,,,,,,,,,,,,,,,
P. 139,JOHOR,P. 139,KOTA TINGGI,BN - UMNO,,52742,33769,78.83,41577,61,1733,39783,UMNO,DATO' SYED HAMID BIN S. JAAFAR,MALE,51,36776,,PAS,MOHAMED HANIPA BIN MAIDIN,MALE,,3007,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 140,JOHOR,P. 140,TEBRAU,BN - UMNO,,70298,39140,74.93,52671,20,2451,50200,UMNO,ZAINABON @ ZAINAB BINTI ABU BAKAR,MALE,54,44670,,PAS,YA'AKOB BIN MOHD YUSOF,MALE,,5530,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 141,JOHOR,P. 141,JOHOR BAHRU,BN - UMNO,,74295,34118,70.56,52424,433,1662,50329,UMNO,MOHAMED KHALED BIN NORDIN,MALE,37,40141,,,,,,,,PBS,TAN TIEN LIM,MALE,,4165,LOST DEPOSIT,S46,ZAHRAH BT MOHD YUSOF,FEMALE,,6023,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 142,JOHOR,P. 142,PULAI,BN - UMNO,,68416,29403,67.16,45946,229,1378,44339,UMNO,MOHAMED BIN RAHMAT,MALE,57,36871,,,,,,,,,,,,,,S46,OMAR BIN SHARIF,MALE,,7468,,,,,,,,,,,,,,,,,,,,,,,,,
P. 143,JOHOR,P. 143,GELANG PATAH,BN - MCA,,63323,24219,77.82,49276,91,2486,46699,MCA,TEU SI @ CHANG SEE TAN,MALE,47,35459,,,,,,,,PRM,A. RAZAK BIN AHMAD,MALE,60,11240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 144,JOHOR,P. 144,PONTIAN,BN - MCA,,60443,32151,74.07,44772,198,2265,42309,MCA,ONG KA TING,MALE,39,37230,,,,,,,,,,,,,,S46,SALEH @ DAUD BIN HASSAN,MALE,,5079,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 145,WILAYAH PERSEKUTUAN LABUAN,P. 145,LABUAN,BN - UMNO,,20243,5147,69.19,14007,649,353,13005,UMNO,ABDOL MULOK BIN AWANG DAMIT,MALE,42,9076,,,,,,,,PBS,SAHLIH BIN SIRIN,MALE,,3929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 146,SABAH,P. 146,MARUDU,GR - PBS,,32298,114,68.05,21980,21,313,21646,UMNO,MOHAMMAD YAHYA @ YAHYA BIN LAMPONG,MALE,,10766,,,,,,,,PBS,DATU AMIR KAHAR BIN DATU MUSTAPHA,MALE,45,10880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 147,SABAH,P. 147,BANDAU,GR - PBS,,24287,4865,69.72,16932,5,198,16729,AKAR,GAPARI BIN KATINGAN @ GEOFFREY KITINGAN,MALE,47,5851,,,,,,,,PBS,JOHNITY @ MAXIMUS BIN ONGKILI,MALE,42,10716,,,,,,,,,,,,,,INDEPENDENT - KEY,JOMILON MOJUNTIN @ DATUK CONRAD MOJUNTIN,MALE,47,162,LOST DEPOSIT,,,,,,,,,,,,
P. 148,SABAH,P. 148,KOTA BELUD,BN - UMNO,,34388,7131,81.71,28097,177,315,27605,UMNO,MD SALLEH MD SAID,MALE,38,17368,,,,,,,,PBS,TIMBUN B. LAGANAN @ HERBERT TIMBUN LAGANAN,MALE,,10237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 149,SABAH,P. 149,TUARAN,GR - PBS,,32382,2570,72.73,23552,27,271,23254,AKAR,MANGGOH AROW @ MONGGOH OROW,MALE,49,10342,,,,,,,,PBS,YUNOF B. MERINGKING,MALE,,12912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 150,SABAH,P. 150,GAYA,BN - SAPP,,40100,209,66.66,26732,2,295,26435,SAPP,YONG CHIEW LIP,MALE,34,12336,,,,,,,,PBS,GOH CHIN LOK @ JOHNNY GOH,MALE,38,12127,,,,,,,,DAP,OSWALD SIPAIN MOJINGOL,MALE,,1541,LOST DEPOSIT,INDEPENDENT - TRACTOR,HAJI MOHD NASER BIN HAJI MOHD NOOR,MALE,,431,LOST DEPOSIT,,,,,,,,,,,,
P. 151,SABAH,P. 151,TANJONG ARU,GR - PBS,,36121,1518,64.96,23463,76,151,23236,SAPP,VUN SHIN CHOI @ JOSEPH VOON,MALE,,8788,,,,,,,,PBS,YEE MOH CHAI,MALE,40,10306,,,,,,,,DAP,FUNG KET WING,MALE,,4142,,,,,,,,,,,,,,,,,,,
P. 152,SABAH,P. 152,PENAMPANG,GR - PBS,,39174,1670,73.54,28807,508,665,27634,PDS,BERNARD GILUK DOMPOK,MALE,46,12982,,,,,,,,PBS,PAULIS @ FRANCIS BIN NOINTIEN,MALE,38,14652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 153,SABAH,P. 153,PAPAR,BN - UMNO,,28908,3116,74.94,21665,58,204,21403,UMNO,OSU HAJI SUKAM,MALE,46,12131,,,,,,,,PBS,JUANI @ JOHNNY BIN MOSINTUN,MALE,,9015,,,,,,,,,,,,,,INDEPENDENT - BOOK,MOHD. HASHIM BIN YUSSUP,MALE,,257,LOST DEPOSIT,,,,,,,,,,,,
P. 154,SABAH,P. 154,BEAUFORT,BN - UMNO,,36084,4643,70.32,25376,22,338,25016,UMNO,NURNIKMAN BIN ABDULLAH,MALE,42,14719,,,,,,,,PBS,ABDUL RASHID BIN ABU BAKAR,MALE,,10076,,,,,,,,,,,,,,INDEPENDENT - OIL PALM,ANIS BIN TUALI,MALE,,221,LOST DEPOSIT,,,,,,,,,,,,
P. 155,SABAH,P. 155,SIPITANG,BN - UMNO,,20609,4524,74.36,15324,14,208,15102,UMNO,YUSOF B. YACOB @ JOSREE,MALE,39,9732,,,,,,,,PBS,JAMILAH BT. SULAIMAN,FEMALE,,5208,,,,,,,,,,,,,,INDEPENDENT - CHAIR,HUSSIN B. MASALIH,MALE,,162,LOST DEPOSIT,,,,,,,,,,,,
P. 156,SABAH,P. 156,KINABALU,GR - PBS,,22612,1511,73.31,16576,11,177,16388,PDS,OSMAN @ OTHMAN BIN MINUDIN,MALE,,6462,,,,,,,,PBS,HENRYNUS AMIN,MALE,36,7973,,,,,,,,,,,,,,INDEPENDENT - KEY,ASMIN B. NASIR,MALE,,1883,LOST DEPOSIT,INDEPENDENT - BOOK,SHARIFF SADI @ BIUN BIN INTANG,MALE,,70,LOST DEPOSIT,,,,,,
P. 157,SABAH,P. 157,KENINGAU,GR - PBS,,36443,8774,73.11,26642,43,353,26246,PBRS,ELLRON BIN ANGIN,MALE,,8736,,,,,,,,PBS,JOSEPH PAIRIN KITINGAN,MALE,55,17510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 158,SABAH,P. 158,TENOM,GR - PBS,,24445,2924,70.62,17262,7,176,17079,PBRS,LIMUN B LAIKIM,MALE,,7025,,,,,,,,PBS,RADIN MALLEH,MALE,45,9949,,,,,,,,,,,,,,INDEPENDENT - UMBRELLA,AGUM @ EDWARD LAAP,MALE,,105,LOST DEPOSIT,,,,,,,,,,,,
P. 159,SABAH,P. 159,BELURAN,BN - UMNO,,17470,189,67.66,11820,21,252,11547,UMNO,AHMAD @ ASMAT BIN NANGKA @ NUNGKA,MALE,41,5868,,,,,,,,PBS,SOH CHUE TET @ SAMSON SOH CHUE TET,MALE,,5679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 160,SABAH,P. 160,LIBARAN,BN - UMNO,,33323,7324,56.25,18743,22,276,18445,UMNO,AKBARKHAN BIN ABDULRAHMAN,MALE,39,12777,,,,,,,,PBS,NASIR BIN UDDIN,MALE,,5453,,,,,,,,,,,,,,INDEPENDENT - UMBRELLA,RAMAN BIN KARDI @ MARJOK,MALE,,215,LOST DEPOSIT,,,,,,,,,,,,
P. 161,SABAH,P. 161,SANDAKAN,BN - LDP,,41590,3074,65.43,27214,152,249,26813,LDP,LAU NGAN SIEW,MALE,52,12892,,,,,,,,PBS,CHONG KET WAH @ CHONG KET FAH,MALE,,4103,,,,,,,,DAP,ANG LIAN HAI,MALE,,9818,,,,,,,,,,,,,,,,,,,
P. 162,SABAH,P. 162,KINABATANGAN,BN - UMNO,,19162,1898,58.46,11202,4,234,10964,UMNO,JUHAR BIN MAHIRUDDIN,MALE,42,6431,,,,,,,,PBS,ABDUL MALEK CHUA,MALE,,4533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 163,SABAH,P. 163,SILAM,BN - UMNO,,39537,9078,58.32,23057,81,424,22552,UMNO,RAILEY BIN HJ. JEFFREY,MALE,50,15815,,,,,,,,PBS,ABDULLAH MINUN B. SAHIRUN,MALE,39,6737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 164,SABAH,P. 164,SEMPORNA,BN - UMNO,,33336,12218,66.59,22197,18,385,21794,UMNO,MOHD. SHAFIE HJ. APDAL,MALE,38,17006,,,,,,,,PBS,SABARDIN BIN OMBRAH,MALE,46,4788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 165,SABAH,P. 165,TAWAU,BN - SAPP,,54540,9131,62.91,34309,204,302,33803,SAPP,CHUA SOON BUI,FEMALE,40,20168,,PAS,MOHAMAD BIN TINGKA,MALE,,825,LOST DEPOSIT,PBS,CHEE YAU FAH,MALE,,11037,,,,,,,,DAP,SAMSON CHIN CHEE TSU,MALE,,1401,LOST DEPOSIT,INDEPENDENT - KEY,SEMANIS BIN HJ MOHD SALLEH,MALE,,372,LOST DEPOSIT,,,,,,,,,,,,
P. 166,SARAWAK,P. 166,MAS GADING,BN - SNAP,,33239,10784,65.59,21802,312,447,21043,SNAP,PATAU ANAK RUBIS,MALE,49,14871,,,,,,,,,,,,,,,,,,,,DAP,JERON ANAK LOBEN,MALE,,2085,LOST DEPOSIT,INDEPENDENT - OIL PALM,PATRICK ANAK UREN,MALE,,4087,,,,,,,,,,,,,
P. 167,SARAWAK,P. 167,SANTUBONG,BN - PBB,,21914,9911,64.16,14060,202,365,13493,PBB,ROHANI BINTI ABDUL KARIM,FEMALE,40,11702,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - TIGER,PARUWADI B. MUSA,MALE,,1791,,,,,,,,,,,,,
P. 168,SARAWAK,P. 168,PETRA JAYA,BN - PBB,Y,,,,,,,,PBB,DR. SULAIMAN DAUD,MALE,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 169,SARAWAK,P. 169,BANDAR KUCHING,BN - SUPP,,74952,3184,70.04,52500,277,379,51844,SUPP,SONG SWEE GUAN,MALE,55,27514,,,,,,,,,,,,,,,,,,,,DAP,SIM KWANG YANG,MALE,47,24330,,,,,,,,,,,,,,,,,,,
P. 170,SARAWAK,P. 170,PADAWAN,BN - SUPP,,44363,11890,62.82,27867,392,849,26626,SUPP,YONG KHOO HIAN @ YONG KHOON SENG,MALE,54,19258,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - ROOSTER,AKAW AK NONJEP,MALE,,7368,,,,,,,,,,,,,
P. 171,SARAWAK,P. 171,KOTA SAMARAHAN,BN - PBB,Y,,,,,,,,PBB,DATUK TAN SRI HAJI ABDUL TAIB BIN MAHMUD,MALE,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 172,SARAWAK,P. 172,SERIAN,BN - SUPP,,31634,7554,65.4,20690,116,468,20106,SUPP,RICHARD RIOT AK JAEM,MALE,44,12116,,,,,,,,PBS,MICHAEL AK RUNIN,MALE,,1753,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT - ROOSTER,ANDREW NYABE,MALE,,959,LOST DEPOSIT,INDEPENDENT - BOOK,BERTRAM SADING ANAK JIHOK,MALE,,716,LOST DEPOSIT,INDEPENDENT - OIL PALM,MARCELLUS ANAK MUNJAN @ ERIC MARCEL ANAK MUNJAN,MALE,,4562,
P. 173,SARAWAK,P. 173,BATANG SADONG,BN - PBB,,21114,7054,62.44,13183,491,346,12346,PBB,SUKINAM DOMO,FEMALE,48,9700,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - ROOSTER,SHAMSUDDIN BIN ABDULLAH,MALE,,2646,,,,,,,,,,,,,
P. 174,SARAWAK,P. 174,BATANG LUPAR,BN - PBB,Y,,,,,,,,PBB,WAN JUNAIDI TUNKU JAAFAR,MALE,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 175,SARAWAK,P. 175,SRI AMAN,BN - PBDS,,27513,5806,64.18,17659,950,481,16228,PBDS,JIMMY LIM @ JIMMY DONALD,MALE,50,11017,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - OIL PALM,JACOB AK EMANG @ IMANG,MALE,,5211,,,,,,,,,,,,,
P. 176,SARAWAK,P. 176,LUBOK ANTU,BN - PBDS,Y,16108,,,,,,,PBDS,JAWAH ANAK GERANG,MALE,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 177,SARAWAK,P. 177,BETONG,BN - PBB,Y,20006,,,,,,,PBB,DOUGLAS UNGGAH EMBAS,MALE,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 178,SARAWAK,P. 178,SARATOK,BN - SNAP,,23089,6653,69.17,15970,70,265,15635,SNAP,PETER TINGGOM ANAK KAMARAU,MALE,71,10115,,,,,,,,PBS,BARUDI @ BERENDAM ANAK LINGGONG,MALE,,677,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT - KEY,HAJI WAN ZAINAL ABIDIN B. WAN SENUSI,MALE,,1381,LOST DEPOSIT,INDEPENDENT - AEROPLANE,LEMPENG @ PATRICK MANGKA ANAK LAMAN,MALE,,3462,,,,,,,
P. 179,SARAWAK,P. 179,KUALA RAJANG,BN - PBB,Y,,,,,,,,PBB,ABANG ABU BAKAR BIN ABANG HAJI MUSTAPHA,MALE,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 180,SARAWAK,P. 180,SARIKEI,BN - SUPP,Y,,,,,,,,SUPP,DATUK LAW HEING DING,MALE,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 181,SARAWAK,P. 181,JULAU,BN - PBDS,,16198,9509,77.53,12558,34,182,12342,PBDS,SNG CHEE HUA,MALE,48,10730,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - UMBRELLA,EDWARD EMPRA ANAK KADOM,MALE,,1221,LOST DEPOSIT,INDEPENDENT - ROOSTER,ENTALAI ANAK MUNAN,MALE,,391,LOST DEPOSIT,,,,,,
P. 182,SARAWAK,P. 182,KANOWIT,BN - PBDS,Y,,,,,,,,PBDS,DATUK LEO MOGGIE AK IROK,MALE,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 183,SARAWAK,P. 183,LANANG,BN - SUPP,,47334,2408,72.79,34456,67,355,34034,SUPP,TIONG THAI KING,MALE,50,18221,,,,,,,,,,,,,,,,,,,,DAP,WONG SING NANG,MALE,37,15813,,,,,,,,,,,,,,,,,,,
P. 184,SARAWAK,P. 184,SIBU,BN - SUPP,,39368,4845,69.39,27316,203,387,26726,SUPP,ROBERT LAU HOI CHEW,MALE,53,15317,,,,,,,,,,,,,,,,,,,,DAP,WONG HO LENG,MALE,36,10472,,INDEPENDENT - UMBRELLA,NARAWAI BIN HARON,MALE,,937,LOST DEPOSIT,,,,,,,,,,,,
P. 185,SARAWAK,P. 185,MUKAH,BN - PBB,Y,,,,,,,,PBB,LEO FRANCIS MICHAEL TOYAD,MALE,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 186,SARAWAK,P. 186,SELANGAU,BN - PBDS,,19683,4913,58.47,11509,58,322,11129,PBDS,JOSEPH MAUH A/L IKEH,MALE,44,8021,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BUS,MUNAN AK JOHN ANDREW,MALE,,3108,,,,,,,,,,,,,
P. 187,SARAWAK,P. 187,KAPIT,BN - PBB,,20859,2378,66.84,13943,52,435,13456,PBB,JAMES JIMBUN @ JIMBUN AK PUNGGA,MALE,55,7917,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,LAU UNG HAI,MALE,,5539,,,,,,,,,,,,,
P. 188,SARAWAK,P. 188,HULU RAJANG,BN - PBDS,,15849,3647,63.8,10111,22,274,9815,PBDS,ABIT JOO,MALE,46,6731,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - ROOSTER,LUCIUS AK JIMBON,MALE,,3084,,,,,,,,,,,,,
P. 189,SARAWAK,P. 189,BINTULU,DAP,,36340,1794,63.72,23157,49,389,22719,SNAP,JAMES WONG KIM MIM,MALE,73,10370,,,,,,,,,,,,,,,,,,,,DAP,CHEW CHIU SING,MALE,45,12164,,INDEPENDENT - UMBRELLA,JOHNNY WALKER ANAK TINGGANG,MALE,,185,LOST DEPOSIT,,,,,,,,,,,,
P. 190,SARAWAK,P. 190,MIRI,BN - SUPP,,64430,10385,59.88,38580,206,805,37569,SUPP,PETER CHIN FAH KUI,MALE,50,23977,,,,,,,,,,,,,,,,,,,,DAP,CHONG KON FATT,MALE,,13592,,,,,,,,,,,,,,,,,,,
P. 191,SARAWAK,P. 191,BARAM,BN - SNAP,,26271,5723,50.09,13158,23,190,12945,SNAP,JACOB DUNGAU SAGAN,MALE,49,8829,,,,,,,,PBS,NGAU LAING,MALE,,3106,,,,,,,,,,,,,,INDEPENDENT - AEROPLANE,LUHAT WAN,MALE,,1010,LOST DEPOSIT,,,,,,,,,,,,
P. 192,SARAWAK,P. 192,BUKIT MAS,BN - PBB,,31563,7369,59.89,18903,146,344,18413,PBB,GOR KAYA @ MICHAEL LISA KAYA,MALE,41,12891,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - UMBRELLA,BARU SIGAR,MALE,,5522,,,,,,,,,,,,,
