UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,WINNING PARTY,WINNING CANDIDATE,WINNING CANDIDATE SEX,WINNING CANDIDATE AGE,UNCONTESTED VICTORY
P. 80,PAHANG,P. 80,PEKAN,BN - UMNO,MOHD NAJIB BIN HJ ABD RAZAK,MALE,42,
P. 81,PAHANG,P. 81,MARAN,BN - UMNO,MUHAMAD BIN ABDULLAH,MALE,53,
P. 82,PAHANG,P. 82,MENTEKAB,BN - MCA,FU AH KIOW @ OH (FU) SOON GUAN,MALE,46,
P. 83,PAHANG,P. 83,BENTUNG,BN - MCA,DATO' LIM AH LEK,MALE,53,
P. 84,PAHANG,P. 84,TEMERLUH,BN - UMNO,SABBARUDDIN CHIK,MALE,54,
P. 85,PAHANG,P. 85,ROMPIN,BN - UMNO,JAMALIDIN BIN MOHD JARJIS,MALE,43,
P. 86,SELANGOR,P. 86,SABAK BERNAM,BN - UMNO,MAHBUD BIN HAJI HASHIM,MALE,,
P. 87,SELANGOR,P. 87,TANJUNG KARANG,BN - UMNO,NOH BIN OMAR,MALE,37,
P. 88,SELANGOR,P. 88,HULU SELANGOR,BN - MIC,PALANIVEL A/L GOVINDASAMY,MALE,46,
P. 89,SELANGOR,P. 89,KUALA SELANGOR,BN - UMNO,ABU HASSAN B HJ OMAR,MALE,55,
P. 90,SELANGOR,P. 90,SELAYANG,BN - MCA,CHAN KONG CHOY,MALE,40,
P. 91,SELANGOR,P. 91,GOMBAK,BN - UMNO,ZALEHA BINTI ISMAIL,FEMALE,59,
P. 92,SELANGOR,P. 92,AMPANG JAYA,BN - MCA,ONG TEE KEAT,MALE,39,
P. 93,SELANGOR,P. 93,HULU LANGAT,BN - UMNO,BADRUL HISHAM BIN ABDUL AZIZ,MALE,36,
P. 94,SELANGOR,P. 94,PJ UTARA,BN - MCA,LIM KUO PHAU,MALE,45,Y
P. 95,SELANGOR,P. 95,PJ SELATAN,BN - MCA,LIM SING CHAI,MALE,40,
P. 96,SELANGOR,P. 96,SERDANG,BN - MCA,YAP PIAN HON,MALE,52,
P. 97,SELANGOR,P. 97,SUBANG,BN - MIC,DATO' M. MAHALINGAM A/L MUTHUKRISHNEN,MALE,60,
P. 98,SELANGOR,P. 98,SHAH ALAM,BN - UMNO,SALAMON BIN SELAMAT,MALE,48,
P. 99,SELANGOR,P. 99,KAPAR,BN - MIC,LEELAVATHI A/P K. GOVINDASAMY,FEMALE,51,
P. 100,SELANGOR,P. 100,KLANG,BN - MCA,TAN YEW KEW,FEMALE,42,
P. 101,SELANGOR,P. 101,KUALA LANGAT,BN - UMNO,SHAFIE BIN MOHD. SALLEH,MALE,49,
P. 102,SELANGOR,P. 102,SEPANG,BN - UMNO,SERIPAH NOLI BINTI SYED HUSSIN,FEMALE,39,
P. 103,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 103,KEPONG,DAP,DR. TAN SENG GIAW,MALE,53,
P. 104,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 104,BATU,BN - GERAKAN,CHONG CHEK AH,MALE,44,
