UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY (2022),UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH VOTE,PH CANDIDATE LOST DEPOSIT,PN,PN CANDIDATE,PN CANDIDATE GENDER,PN CANDIDATE AGE,PN CANDIDATE VOTE,PN CANDIDATE LOST DEPOSIT,PBM,PBM CANDIDATE,PBM CANDIDATE GENDER,PBM CANDIDATE AGE,PBM VOTE,PBM CANDIDATE LOST DEPOSIT,PEJUANG,PEJUANG CANDIDATE,PEJUANG CANDIDATE GENDER,PEJUANG CANDIDATE AGE,PEJUANG VOTE,PEJUANG CANDIDATE LOST DEPOSIT,MUDA,MUDA CANDIDATE,MUDA CANDIDATE GENDER,MUDA CANDIDATE AGE,MUDA VOTE,MUDA CANDIDATE  LOST DEPOSIT,WARISAN,WARISAN CANDIDATE,WARISAN CANDIDATE GENDER,WARISAN CANDIDATE AGE,WARSIAN VOTE,WARISAN CANDIDATE LOST DEPOSIT,PSM,PSM CANDIDATE,PSM CANDIDATE GENDER,PSM CANDIDATE AGE,PSM VOTE,PSM CANDIDATE LOST DEPOSIT,PUTRA,PUTRA CANDIDATE,PUTRA CANDIDATE GENDER,PUTRA CANDIDATE AGE,PUTRA VOTE,PUTRA CANDIDATE LOST DEPOSIT,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE,INDEPENDENT 1 CANDIDATE LOST DEPOSIT,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 VOTE,INDEPENDENT 2 CANDIDATE LOST DEPOSIT,INDEPENDENT 3,INDEPENDENT 3 CANDIDATE,INDEPENDENT 3 CANDIDATE GENDER,INDEPENDENT 3 CANDIDATE AGE,INDEPENDENT 3 CANDIDATE VOTE,INDEPENDENT 3 CANDIDATE LOST DEPOSIT
P.149_N. 21,JOHOR,P.149,SRI GADING,N. 21,PARIT YAANI,BN-UMNO,,41851,294,57.59,24101,157,424,23520,UMNO,DATUK NAJIB SAMURI,MALE,39,9070,,PAN,CIKGU AMINOLHUDA,MALE,63,8776,,PAS,AHMAD NAWFAL DATO' MAHFODZ,MALE,38,5435,,,,,,,,PEJUANG,RIDHAUDDIN TAHIR,MALE,45,239,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.149_N. 22,JOHOR,P.149,SRI GADING,N. 22,PARIT RAJA,BN-UMNO,,36059,4219,60.89,21957,164,341,21452,UMNO,RASHIDAH RAMLI,FEMALE,43,10634,,,,,,,,PPBM,ZULKIFLI B MAT DAUD,MALE,61,6415,,,,,,,,PEJUANG,LATEEF MAHRANI,MALE,43,510,LOST DEPOSIT,MUDA,FIKRI MUSA,MALE,27,3893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.150_N. 23,JOHOR,P.150,BATU PAHAT,N. 23,PENGGARAM,PH-DAP,,69092,9956,50.69,35024,228,870,33926,MCA,TER HWA KWONG,MALE,,8252,,DAP,GAN PECK CHENG,FEMALE,55,18208,,PPBM,RONALD SIA WEE YET,MALE,45,5276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY ,TUAN HAJI ZAHARI BIN HAJI OSMAN,MALE,,2190,LOST DEPOSIT,,,,,,,,,,,,
P.150_N. 24,JOHOR,P.150,BATU PAHAT,N. 24,SENGGARANG,BN-UMNO,,37374,3912,59.24,22139,158,424,21557,UMNO,YUSLA ISMAIL,MALE,54,9725,,PAN,HAMID JAMAH,MALE,51,5813,,PAS,KHAIRUL FAIZI BIN AHMAD KAMIL,MALE,49,5624,,,,,,,,PEJUANG,ZALIHAH BINTI JAFFAR,FEMALE,51,168,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - CLOCK,BAHARUDIN ABDULLAH,MALE,,227,LOST DEPOSIT,,,,,,,,,,,,
P.150_N. 25,JOHOR,P.150,BATU PAHAT,N. 25,RENGIT,BN-UMNO,,27123,1920,61.2,16598,95,346,16157,UMNO,MOHD PUAD ZARKASHI,MALE,65,7903,,PKR,KHAIRUDDIN A RAHIM,MALE,62,2065,,PPBM,MOHAMMAD HUZAIR BIN LAJIS,MALE,57,5983,,,,,,,,PEJUANG,NIZAM BASHIR BIN ABDUL KARIEM BASHIR,MALE,49,206,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.151_N. 26,JOHOR,P.151,SIMPANG RENGGAM,N. 26,MACHAP,BN-UMNO,,33764,6543,59.29,20018,120,425,19473,UMNO,ONN HAFIZ GHAZI,MALE,42,11029,,,,,,,,PAS,AZLISHAM BIN AZAHAR,MALE,47,4486,,,,,,,,PEJUANG,DATUK DR SHARUDDIN BIN MD SALLEH,MALE,65,465,LOST DEPOSIT,MUDA,R. SANGARAN,MALE,32,3493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.151_N. 27,JOHOR,P.151,SIMPANG RENGGAM,N. 27,LAYANG-LAYANG,BN-UMNO,,25147,2815,56.39,14181,71,381,13729,UMNO,ABD MUTALIP BIN ABD RAHIM,MALE,,7551,,PKR,DR MASZLEE MALIK,MALE,48,4736,,PPBM,ALAGENTHIRAN KRISHNAN,MALE,36,1278,LOST DEPOSIT,,,,,,,PEJUANG,AHMAD SHAFIQ OTHAMAN,MALE,33,164,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.152_N. 28,JOHOR,P.152,KLUANG,N. 28,MENGKIBOL,PH-DAP,,66362,10107,51.92,34455,246,574,33635,MCA,KELLY CHYE PEI YEE,FEMALE,26,9706,,DAP,CHEW CHONG SIN,MALE,48,19813,,PPBM,WONG CHAN GIAP,MALE,32,4116,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.152_N. 29,JOHOR,P.152,KLUANG,N. 29,MAHKOTA,BN-UMNO,,65074,5166,57.34,37316,286,805,36225,UMNO,DATO' SAHRIFAH AZIZAH BINTI DATO' SYED ZAIN,FEMALE,61,16611,,PAN,TAQIUDDIN CHEMAN,MALE,33,11445,,PPBM,MOHAMAD NOR LINGAN,MALE,45,7614,,,,,,,,,,,,,,,,,,,,WARISAN,MOHAMED NOOR BIN SULEIMAN,MALE,61,555,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.153_N. 30,JOHOR,P.153,SEMBRONG,N. 30,PALOH,BN-MCA,,25831,3176,58.75,15176,81,424,14671,MCA,LEE TING HAN,MALE,31,8077,,DAP,SHEIKH OMAR ALI,MALE,37,4901,,PAS,SELVENDRAN A/L VELU,MALE,44,1512,LOST DEPOSIT,,,,,,,PEJUANG,AMINUDDIN BIN JOHAR,MALE,30,181,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
