UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,WINNING CANDIDATE,WINNING CANDIDATE SEX,WINNING CANDIDATE AGE,UNCONTESTED VICTORY
P. 151_N. 26,JOHOR,P. 151,SIMPANG RENGGAM,N. 26,MACHAP,BN - UMNO,ONN HAFIZ GHAZI,MALE,42,
P. 151_N. 27,JOHOR,P. 151,SIMPANG RENGGAM,N. 27,LAYANG-LAYANG,BN - UMNO,ABD MUTALIP BIN ABD RAHIM,MALE,0,
P. 152_N. 28,JOHOR,P. 152,KLUANG,N. 28,MENGKIBOL,PH - DAP,CHEW CHONG SIN,MALE,48,
P. 152_N. 29,JOHOR,P. 152,KLUANG,N. 29,MAHKOTA,BN - UMNO,DATO' SAHRIFAH AZIZAH BINTI DATO' SYED ZAIN,FEMALE,61,
P. 153_N. 30,JOHOR,P. 153,SEMBRONG,N. 30,PALOH,BN - MCA,LEE TING HAN,MALE,31,
P. 153_N. 31,JOHOR,P. 153,SEMBRONG,N. 31,KAHANG,BN - MIC,R. VIDYANANTHAN,MALE,49,
P. 154_N. 32,JOHOR,P. 154,MERSING,N. 32,ENDAU,PN - PPBM,ALWIYAH TALIB,FEMALE,60,
P. 154_N. 33,JOHOR,P. 154,MERSING,N. 33,TENGGAROH,BN - MIC,RAVEN KUMAR KRISHNASAMY,MALE,40,
P. 155_N. 34,JOHOR,P. 155,TENGGARA,N. 34,PANTI,BN - UMNO,HAHASRIN BIN HASHIM,MALE,46,
P. 155_N. 35,JOHOR,P. 155,TENGGARA,N. 35,PASIR RAJA,BN - UMNO,RASHIDAH BINTI ISMAIL,FEMALE,0,
P. 156_N. 36,JOHOR,P. 156,KOTA TINGGI,N. 36,SEDILI,BN - UMNO,MUSZAIDE BIN MAKMOR,MALE,0,
P. 156_N. 37,JOHOR,P. 156,KOTA TINGGI,N. 37,JOHOR LAMA,BN - UMNO,NORLIZAH BINTI NOH,FEMALE,38,
P. 157_N. 38,JOHOR,P. 157,PENGERANG,N. 38,PENAWAR,BN - UMNO,FAUZIAH BINTI MISRI,FEMALE,45,
P. 157_N. 39,JOHOR,P. 157,PENGERANG,N. 39,TANJUNG SURAT,BN - UMNO,AZNAN BIN TAMIN,MALE,37,
P. 158_N. 40,JOHOR,P. 158,TEBRAU,N. 40,TIRAM,BN - UMNO,HJ. AZIZUL BIN BACHOK,MALE,43,
P. 158_N. 41,JOHOR,P. 158,TEBRAU,N. 41,PUTERI WANGSA,MUDA,AMIRA AISYA,FEMALE,27,
P. 159_N. 42,JOHOR,P. 159,PASIR GUDANG,N. 42,JOHOR JAYA,PH - DAP,LIOW CAI TUNG,FEMALE,36,
P. 159_N. 43,JOHOR,P. 159,PASIR GUDANG,N. 43,PERMAS,BN - UMNO,BAHARUDIN BIN MOHAMED TAIB,MALE,0,
P. 160_N. 44,JOHOR,P. 160,JOHOR BAHRU,N. 44,LARKIN,BN - UMNO,MOHD HAIRI BIN MAD SHAH,MALE,37,
P. 160_N. 45,JOHOR,P. 160,JOHOR BAHRU,N. 45,STULANG,PH - DAP,ANDREW CHEN KAH ENG,MALE,47,
P. 161_N. 46,JOHOR,P. 161,PULAI,N. 46,PERLING,PH - DAP,LIEW CHIN TONG,MALE,45,
P. 161_N. 47,JOHOR,P. 161,PULAI,N. 47,KEMPAS,BN - UMNO,RAMLEE BOHANI,MALE,50,
P. 162_N. 48,JOHOR,P. 162,ISKANDAR PUTERI,N. 48,SKUDAI,PH - DAP,MARINA BINTI IBRAHIM,FEMALE,35,
P. 162_N. 49,JOHOR,P. 162,ISKANDAR PUTERI,N. 49,KOTA ISKANDAR,BN - UMNO,PANDAK BIN AHMAD,MALE,58,
P. 163_N. 50,JOHOR,P. 163,KULAI,N. 50,BUKIT PERMAI,BN - UMNO,DATO' MOHD JAFNI MD SHUKOR,MALE,0,
P. 163_N. 51,JOHOR,P. 163,KULAI,N. 51,BUKIT BATU,PH - PKR,ARTHUR CHIONG SEN SERN,MALE,32,
P. 163_N. 52,JOHOR,P. 163,KULAI,N. 52,SENAI,PH - DAP,WONG BOR YANG,MALE,36,
P. 164_N. 53,JOHOR,P. 164,PONTIAN,N. 53,BENUT,BN - UMNO,HASNI BIN MOHAMMAD,MALE,63,
P. 164_N. 54,JOHOR,P. 164,PONTIAN,N. 54,PULAI SEBATANG,BN - UMNO,HASRUNIZAH HASSAN (AZAH),FEMALE,45,
P. 165_N. 55,JOHOR,P. 165,TANJUNG PIAI,N. 55,PEKAN NANAS,BN - MCA,TAN ENG MENG,MALE,60,
P. 165_N. 56,JOHOR,P. 165,TANJUNG PIAI,N. 56,KUKUP,BN - UMNO,DATO' JEFRIDIN ATAN,MALE,54,
